"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Открываем страницу товара
    Добавляем товар в корзину
    Проверяем, что нет сообщения об успехе с помощью is_disappeared","4969","Тест заранее проваленный","tests","Thu Mar 27 09:01:00 GMT 2025","skipped","Thu Mar 27 09:01:05 GMT 2025","","test_product_page","",""
"Сначала мы заходим переходим со страницы продукта в корзиу, проверем что она пустая, потом возвращаемся к продукту, кладём его в корзину, переходим в корзину и проверяем что корзина не пустая и в нем есть элемент товара.","23085","Тест надписей пустой корзины и не пустой","tests","Thu Mar 27 09:01:08 GMT 2025","passed","Thu Mar 27 09:01:31 GMT 2025","","test_product_page","",""
"","975","Тест видимости кнопки логин неавторизованного пользователя","tests","Thu Mar 27 09:00:07 GMT 2025","passed","Thu Mar 27 09:00:08 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"Используем метод POST, для регистрации пользователя с username 1 символ","1662","Тест регистрации пользователя с username = 1 символ","tests.api","Thu Mar 27 08:59:57 GMT 2025","passed","Thu Mar 27 08:59:59 GMT 2025","","test_api","",""
"","1732","Тест видимости формы логина и формы регистрации при переходе неавторизованного пользователя с MainPage на LoginPage","tests","Thu Mar 27 09:00:04 GMT 2025","passed","Thu Mar 27 09:00:06 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"Используем метод POST, для простой регистрации пользователя","1761","Тест позитивный регистрации пользователя","tests.api","Thu Mar 27 08:59:56 GMT 2025","passed","Thu Mar 27 08:59:57 GMT 2025","","test_api","",""
"","11221","Тест надписей пустой корзины при переходе в Корзину из MainPage","tests","Thu Mar 27 09:00:08 GMT 2025","passed","Thu Mar 27 09:00:19 GMT 2025","","test_main_page","",""
"Гость может нажать кнопку Войти со страницы любого товара","1203","Тест работоспособности кнопки 'Войти' со страницы любого товара","tests","Thu Mar 27 09:01:07 GMT 2025","passed","Thu Mar 27 09:01:08 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
        Добавляем товар в корзину 
        Проверяем, что нет сообщения об успехе с помощью is_not_element_present","1959","Тест заанее проваленный у авторизованного пользователя","tests","Thu Mar 27 09:00:23 GMT 2025","skipped","Thu Mar 27 09:00:25 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"Используем метод POST, для регистрации пользователя с username 256 символ","586","Тест регистрации пользователя с username = 256 символ","tests.api","Thu Mar 27 08:59:59 GMT 2025","passed","Thu Mar 27 09:00:00 GMT 2025","","test_api","",""
"","2024","Тест появления сообщений при добавлении товара в корзину","tests","Thu Mar 27 09:00:36 GMT 2025","passed","Thu Mar 27 09:00:38 GMT 2025","","test_product_page","",""
"","2003","Тест добавления товара в корзины авторизованным пользователем","tests","Thu Mar 27 09:00:27 GMT 2025","passed","Thu Mar 27 09:00:29 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"Гость видит Кнопку Войти со страницы любого товара","917","Тест видимости кнопки 'Войти' со страницы любого товара","tests","Thu Mar 27 09:01:05 GMT 2025","passed","Thu Mar 27 09:01:06 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
    Добавляем товар в корзину 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","5936","Тест заранее проваленный","tests","Thu Mar 27 09:00:29 GMT 2025","skipped","Thu Mar 27 09:00:35 GMT 2025","","test_product_page","",""
"Открываем страницу товара 
    Проверяем, что нет сообщения об успехе с помощью is_not_element_present","21012","Тест отсутствия сообщений о добавлении в корзину при открытии страницы продукта","tests","Thu Mar 27 09:00:38 GMT 2025","passed","Thu Mar 27 09:00:59 GMT 2025","","test_product_page","",""
