"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Используем метод POST, для негативной регистрации пользователя без 1го поля","171","Тест негативный регистрации пользователя без какого либо поля json","tests.api","Sun Apr 20 12:13:51 MSK 2025","passed","Sun Apr 20 12:13:51 MSK 2025","","test_api","",""
"Гость может нажать кнопку Войти со страницы любого товара","2380","Тест работоспособности кнопки 'Войти' со страницы любого товара","tests.ui","Sun Apr 20 12:15:47 MSK 2025","passed","Sun Apr 20 12:15:49 MSK 2025","","test_product_page","",""
"Гость видит Кнопку Войти со страницы любого товара","1876","Тест видимости кнопки 'Войти' со страницы любого товара","tests.ui","Sun Apr 20 12:15:43 MSK 2025","passed","Sun Apr 20 12:15:45 MSK 2025","","test_product_page","",""
"","12809","Тест надписей пустой корзины при переходе в Корзину из MainPage","tests.ui","Sun Apr 20 12:14:20 MSK 2025","passed","Sun Apr 20 12:14:33 MSK 2025","","test_main_page","",""
"","1941","Тест видимости кнопки логин неавторизованного пользователя","tests.ui","Sun Apr 20 12:14:17 MSK 2025","passed","Sun Apr 20 12:14:18 MSK 2025","TestLoginFromMainPage","test_main_page","",""
"This test verifies the screenshot of the main page.","2508","Test Screenshot for Main Page","tests.snapshots","Sun Apr 20 12:14:02 MSK 2025","passed","Sun Apr 20 12:14:04 MSK 2025","","test_screen_page","",""
"Используем метод POST, для позитивного изменения пароля пользователя","2272","Тест позитивный изменения пароля пользователя","tests.api","Sun Apr 20 12:13:57 MSK 2025","passed","Sun Apr 20 12:14:00 MSK 2025","","test_api","",""
"Используем метод POST, для регистрации пользователя с username 1 символ","1220","Тест регистрации пользователя с username = 1 символ","tests.api","Sun Apr 20 12:13:51 MSK 2025","passed","Sun Apr 20 12:13:52 MSK 2025","","test_api","",""
"Используем метод POST, для негативной регистрации пользователя без 1го поля","173","Тест негативный регистрации пользователя без какого либо поля json","tests.api","Sun Apr 20 12:13:51 MSK 2025","passed","Sun Apr 20 12:13:51 MSK 2025","","test_api","",""
"Используем метод POST, для негативной регистрации пользователя без 1го поля","135","Тест негативный регистрации пользователя без какого либо поля json","tests.api","Sun Apr 20 12:13:51 MSK 2025","passed","Sun Apr 20 12:13:51 MSK 2025","","test_api","",""
